Time,Toy_Switch,Child_EG,Parent_EG
00:15.0,Toy Switch Present,,
00:15.0,Toy Switch Present,,
00:15.0,Toy Switch Present,,
00:15.1,Toy Switch Present,,
00:15.1,Toy Switch Present,,
00:15.1,Toy Switch Present,,
00:15.2,Toy Switch Present,,
00:15.2,Toy Switch Present,,
00:15.2,Toy Switch Present,,
00:15.3,Toy Switch Present,,
00:15.3,Toy Switch Present,,
00:15.3,Toy Switch Present,,
00:15.4,Toy Switch Present,,
00:15.4,Toy Switch Present,,
00:15.4,Toy Switch Present,,
00:15.5,Toy Switch Present,,
00:15.5,Toy Switch Present,,
00:15.6,Toy Switch Present,,
00:15.6,Toy Switch Present,,
00:15.6,Toy Switch Present,,
00:15.7,Toy Switch Present,,
00:15.7,Toy Switch Present,,
00:15.7,Toy Switch Present,,
00:15.8,Toy Switch Present,,
00:15.8,Toy Switch Present,,
00:15.8,Toy Switch Present,,
00:15.9,Toy Switch Present,,
00:15.9,Toy Switch Present,,
00:15.9,Toy Switch Present,,
00:16.0,Toy Switch Present,,
00:16.0,Toy Switch Present,,
00:16.0,Toy Switch Present,,
00:16.1,Toy Switch Present,,
00:16.1,Toy Switch Present,,
00:16.1,Toy Switch Present,,
00:16.1,Toy Switch Present,,
00:16.2,Toy Switch Present,,
00:16.2,Toy Switch Present,,
00:16.3,Toy Switch Present,,
00:16.3,Toy Switch Present,,
00:16.3,Toy Switch Present,,
00:16.3,Toy Switch Present,,
00:16.4,Toy Switch Present,,
00:16.4,Toy Switch Present,,
00:16.5,Toy Switch Present,,
00:16.5,Toy Switch Present,,
00:16.5,Toy Switch Present,,
00:16.6,Toy Switch Present,,
00:16.6,Toy Switch Present,,
00:16.6,Toy Switch Present,,
00:16.6,Toy Switch Present,,
00:16.7,Toy Switch Present,,
00:16.7,Toy Switch Present,,
00:16.7,Toy Switch Present,,
00:16.8,Toy Switch Present,,
00:16.8,Toy Switch Present,,
00:16.9,Toy Switch Present,,
00:16.9,Toy Switch Present,,
00:16.9,Toy Switch Present,,
00:16.9,Toy Switch Present,,
00:17.0,Toy Switch Present,,
00:17.0,Toy Switch Present,,
00:17.0,Toy Switch Present,,
00:17.1,Toy Switch Present,,
00:17.1,Toy Switch Present,,
00:17.1,Toy Switch Present,,
00:17.2,Toy Switch Present,,
00:17.2,Toy Switch Present,,
00:17.3,Toy Switch Present,,
00:17.3,Toy Switch Present,,
00:17.3,Toy Switch Present,,
00:17.4,Toy Switch Present,,
00:17.4,Toy Switch Present,,
00:17.4,Toy Switch Present,,
00:17.5,Toy Switch Present,,
00:17.5,Toy Switch Present,,
00:17.5,Toy Switch Present,,
00:17.6,Toy Switch Present,,
00:17.6,Toy Switch Present,,
00:17.6,Toy Switch Present,,
00:17.6,Toy Switch Present,,
00:17.7,Toy Switch Present,,
00:17.7,Toy Switch Present,,
00:17.7,Toy Switch Present,,
00:17.8,Toy Switch Present,,
00:17.8,Toy Switch Present,,
00:17.8,Toy Switch Present,,
00:17.9,Toy Switch Present,,
00:17.9,Toy Switch Present,,
00:17.9,Toy Switch Present,,
00:18.0,Toy Switch Present,,
00:18.0,Toy Switch Present,,
